"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/05/07 7:40:06 PM GMT+4","I have read the above information and agree to participate in this research.","Male","47","Non-Arab","Pharmacist","Pharmacy ","DHA","Private Clinic/Hospital","24","20 to 49","Yes, 4 doses or more","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Unlikely","Very unlikely","I don't know","I don't know","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree","Disagree","Strongly disagree","No","Very interested","Maybe"
"2024/05/07 8:20:41 PM GMT+4","I have read the above information and agree to participate in this research.","Female","35","Other Arab","Pharmacist","Hospital pharmacy ","DHA","Government Hospital","12","50 and above","Yes, 3 doses","No","Very confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites","Likely","Likely","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","More negative","Tens of cases","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Not sure","Yes","Interested","Maybe"
"2024/05/25 11:33:58 PM GMT+4","I have read the above information and agree to participate in this research.","Female","28","Other Arab","Pharmacist","Pharmacy ","MOHAP/EHS","Private pharmacy/ University of Sharjah ","4","1 to 19","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Medical experience;International guidelines;Journals and medical websites","Unlikely","I don't know","Unlikely","Likely","Likely","Likely","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","More negative","Tens of cases","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Not sure","Agree","Agree","Agree","Strongly agree","No","Very interested","Yes"
"2024/05/25 11:56:59 PM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Other Arab","Pharmacist","Pharmacy","MOHAP/EHS","Private Clinic/Hospital","1","20 to 49","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Local guidelines;International guidelines","I don't know","I don't know","I don't know","Likely","I don't know","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","More negative","Tens of cases","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","No","Very interested","Yes"
"2024/05/29 11:52:51 AM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Pharmacist","Pharmacy","MOHAP/EHS","Private Clinic/Hospital","3","50 and above","Yes, 2 doses","No","Very confident","Very confident","Very confident","International guidelines;Journals and medical websites;Vaccine manufacturers","Likely","Likely","Unlikely","Unlikely","Unlikely","Very likely","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","More negative","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Yes","Neutral","Yes"
"2024/05/29 11:55:03 AM GMT+4","I have read the above information and agree to participate in this research.","Female","35","Non-Arab","Pharmacist","Pharmacist","MOHAP/EHS","Chain Pharmacy","10","20 to 49","Yes, 1 dose","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience","Unlikely","Likely","Likely","Unlikely","Unlikely","Unlikely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Agree","Not sure","No","Interested","Yes"
"2024/06/06 6:41:17 PM GMT+4","I have read the above information and agree to participate in this research.","Female","29","Other Arab","Pharmacist","Community","MOHAP/EHS","Private Clinic/Hospital","1","20 to 49","Yes, 4 doses or more","No","Somewhat confident","Somewhat confident","Somewhat confident","Social media","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","More negative","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Not sure","Agree","Disagree","No","Very interested","Yes"
"2024/06/13 9:46:08 PM GMT+4","I have read the above information and agree to participate in this research.","Female","30","Other Arab","Pharmacist","Pharma","MOHAP/EHS","Primary Healthcare","5","50 and above","Yes, 2 doses","No","Somewhat confident","Somewhat unconfident","Somewhat confident","Medical experience;Colleagues experience and advice;Experience of family and friends;International guidelines;Journals and medical websites","Likely","I don't know","Likely","Likely","Likely","Very likely","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Neutral","Neutral","Tens of cases","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Personal experience with the disease;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Not sure","Agree","Agree","Strongly agree","Disagree","No","Very interested","Yes"
"2024/06/16 11:30:20 PM GMT+4","I have read the above information and agree to participate in this research.","Female","28","Other Arab","Pharmacist","Binsina pharmacy","MOHAP/EHS","Primary Healthcare","4","50 and above","Yes, 4 doses or more","No","Somewhat unconfident","Somewhat unconfident","Somewhat unconfident","I am not keen on information about vaccinations","Likely","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Agree","Agree","Strongly agree","Agree","Agree","Agree","More negative","More negative","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Not sure","Not sure","Not sure","Not sure","Agree","Not sure","Not sure","Not sure","Strongly agree","Agree","No","Interested","Maybe"
"2024/06/25 10:09:16 AM GMT+4","I have read the above information and agree to participate in this research.","Female","40","Other Arab","Pharmacist","pharmacist","MOHAP/EHS","Individual pharmacy ","20","50 and above","Yes, 2 doses","No","Somewhat unconfident","Somewhat unconfident","Somewhat unconfident","Colleagues experience and advice","Likely","Likely","Unlikely","Unlikely","Unlikely","Unlikely","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Incidence of disease;Possibility to eradicate disease with vaccination;Personal experience with the disease;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Not sure","Agree","Agree","Agree","Agree","No","Neutral","Yes"
"2024/06/25 2:16:32 PM GMT+4","I have read the above information and agree to participate in this research.","Female","31","Other Arab","Pharmacist","Pharmacy","MOHAP/EHS","Private Clinic/Hospital","4","1 to 19","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites","Likely","Very likely","Likely","Likely","Unlikely","Likely","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Agree","Strongly agree","Strongly agree","Agree","Not sure","Strongly agree","Strongly agree","Agree","Agree","Disagree","No","Interested","Maybe"
"2024/06/25 9:31:36 PM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Other Arab","Pharmacist","Pharmacy - Clinical pharmacy ","MOHAP/EHS","Government Hospital","2","50 and above","Yes, 3 doses","Yes","Very confident","Very confident","Very confident","Medical experience;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Yes","Very interested","Yes"
"2024/06/26 6:25:36 PM GMT+4","I have read the above information and agree to participate in this research.","Female","35","Other Arab","Pharmacist","Pharmacy","DHA","Private Clinic/Hospital","6","50 and above","Yes, 2 doses","Yes","Very confident","Very confident","Very confident","International guidelines","Unlikely","Unlikely","Very unlikely","Very unlikely","Very unlikely","Unlikely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","Neutral","More negative","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Yes"
"2024/06/26 6:32:52 PM GMT+4","I have read the above information and agree to participate in this research.","Male","37","Non-Arab","Pharmacist","Pharmacy","DHA","Private Clinic/Hospital","16","50 and above","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Local guidelines","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","No","Very interested","Yes"
"2024/06/26 7:22:40 PM GMT+4","I have read the above information and agree to participate in this research.","Male","30","Non-Arab","Pharmacist","Inpatient pharmacy ","DHA","Private Clinic/Hospital","6","20 to 49","Yes, 2 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;International guidelines","Unlikely","Unlikely","Unlikely","Very unlikely","Unlikely","Unlikely","Agree","Agree","Strongly agree","Agree","Agree","Agree","Neutral","More positive","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Agree","Agree","Agree","Agree","Not sure","Not sure","Agree","Agree","Strongly agree","Not sure","No","Interested","Yes"
"2024/06/26 11:02:05 PM GMT+4","I have read the above information and agree to participate in this research.","Female","32","Other Arab","Pharmacist","Pharmacy","MOHAP/EHS","Private Clinic/Hospital","10","50 and above","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Tens of cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Personal experience with the disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Agree","Agree","Agree","Agree","Agree","Not sure","Agree","Not sure","Not sure","Not sure","No","Neutral","Yes"
"2024/06/27 12:54:33 AM GMT+4","I have read the above information and agree to participate in this research.","Male","60","Other Arab","Pharmacist","Pharmacy ","MOHAP/EHS","Pharmacy ","35","50 and above","Yes, 3 doses","No","Somewhat unconfident","Somewhat unconfident","Somewhat unconfident","I am not keen on information about vaccinations","I don't know","Likely","Unlikely","Very likely","Likely","Unlikely","Agree","Agree","Strongly agree","Agree","Disagree","Agree","More negative","More negative","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Vaccine safety","Not sure","Not sure","Agree","Not sure","Agree","Not sure","Not sure","Agree","Agree","Agree","No","Neutral","Yes"
"2024/06/27 5:55:46 AM GMT+4","I have read the above information and agree to participate in this research.","Female","36","Other Arab","Pharmacist","Pharmacy","MOHAP/EHS","Government Hospital","15","1 to 19","Yes, 2 doses","Yes","Somewhat unconfident","Somewhat unconfident","Somewhat unconfident","I am not keen on information about vaccinations","I don't know","I don't know","I don't know","Likely","Likely","Unlikely","Agree","Disagree","Agree","Agree","Agree","Agree","More negative","Neutral","Few cases","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Incidence of disease;Inclusion of vaccine in the official immunization schedule;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Agree","Strongly agree","Agree","Strongly disagree","No","Neutral","Yes"